t,xf
1,6.24464285714286
2,6.91928571428571
3,7.59392857142857
4,8.26857142857143
5,8.94321428571429
6,9.61785714285714
7,10.2925
8,10.9671428571429
9,11.6417857142857
10,12.3164285714286
11,12.9910714285714
12,13.6657142857143
13,14.3403571428571
14,15.015
15,15.6896428571429
16,16.3642857142857
17,17.0389285714286
18,17.7135714285714
19,18.3882142857143
20,19.0628571428571
21,19.7375
22,20.4121428571429
23,21.0867857142857
24,21.7614285714286
25,22.4360714285714
26,23.1107142857143
27,23.7853571428571
28,24.46
29,25.9228571428571
30,27.3857142857143
31,28.8485714285714
32,30.3114285714286
33,31.7742857142857
34,33.2371428571429
35,34.7
36,36.1628571428571
37,37.6257142857143
38,39.0885714285714
39,40.5514285714286
40,42.0142857142857
41,43.4771428571429
42,44.94
43,46.4028571428571
44,47.8657142857143
45,49.3285714285714
46,50.7914285714286
47,52.2542857142857
48,53.7171428571429
49,55.18
50,56.6428571428571
51,58.1057142857143
52,59.5685714285714
53,61.0314285714286
54,62.4942857142857
55,63.9571428571429
56,65.42
57,67.1410714285714
58,68.8621428571429
59,70.5832142857143
60,72.3042857142857
61,74.0253571428571
62,75.7464285714286
63,77.4675
64,79.1885714285714
65,80.9096428571429
66,82.6307142857143
67,84.3517857142857
68,86.0728571428571
69,87.7939285714286
70,89.515
71,91.2360714285714
72,92.9571428571429
73,94.6782142857143
74,96.3992857142857
75,98.1203571428571
76,99.8414285714286
77,101.5625
78,103.283571428571
79,105.004642857143
80,106.725714285714
81,108.446785714286
82,110.167857142857
83,111.888928571429
84,113.61
85,115.175357142857
86,116.740714285714
87,118.306071428571
88,119.871428571429
89,121.436785714286
90,123.002142857143
91,124.5675
92,126.132857142857
93,127.698214285714
94,129.263571428571
95,130.828928571429
96,132.394285714286
97,133.959642857143
98,135.525
99,137.090357142857
100,138.655714285714
101,140.221071428571
102,141.786428571429
103,143.351785714286
104,144.917142857143
105,146.4825
106,148.047857142857
107,149.613214285714
108,151.178571428571
109,152.743928571429
110,154.309285714286
111,155.874642857143
112,157.44
113,158.814285714286
114,160.188571428571
115,161.562857142857
116,162.937142857143
117,164.311428571429
118,165.685714285714
119,167.06
120,168.434285714286
121,169.808571428571
122,171.182857142857
123,172.557142857143
124,173.931428571429
125,175.305714285714
126,176.68
127,178.054285714286
128,179.428571428571
129,180.802857142857
130,182.177142857143
131,183.551428571429
132,184.925714285714
133,186.3
134,187.674285714286
135,189.048571428571
136,190.422857142857
137,191.797142857143
138,193.171428571429
139,194.545714285714
140,195.92
141,197.601428571429
142,199.282857142857
143,200.964285714286
144,202.645714285714
145,204.327142857143
146,206.008571428571
147,207.69
148,209.371428571429
149,211.052857142857
150,212.734285714286
151,214.415714285714
152,216.097142857143
153,217.778571428571
154,219.46
155,221.141428571429
156,222.822857142857
157,224.504285714286
158,226.185714285714
159,227.867142857143
160,229.548571428571
161,231.23
162,232.911428571429
163,234.592857142857
164,236.274285714286
165,237.955714285714
166,239.637142857143
167,241.318571428571
168,243
169,244.079285714286
170,245.158571428571
171,246.237857142857
172,247.317142857143
173,248.396428571429
174,249.475714285714
175,250.555
176,251.634285714286
177,252.713571428571
178,253.792857142857
179,254.872142857143
180,255.951428571429
181,257.030714285714
182,258.11
183,259.189285714286
184,260.268571428571
185,261.347857142857
186,262.427142857143
187,263.506428571429
188,264.585714285714
189,265.665
190,266.744285714286
191,267.823571428571
192,268.902857142857
193,269.982142857143
194,271.061428571429
195,272.140714285714
196,273.22
197,274.632142857143
198,276.044285714286
199,277.456428571429
200,278.868571428571
201,280.280714285714
202,281.692857142857
203,283.105
204,284.517142857143
205,285.929285714286
206,287.341428571429
207,288.753571428571
208,290.165714285714
209,291.577857142857
210,292.99
211,294.402142857143
212,295.814285714286
213,297.226428571429
214,298.638571428571
215,300.050714285714
216,301.462857142857
217,302.875
218,304.287142857143
219,305.699285714286
220,307.111428571429
221,308.523571428571
222,309.935714285714
223,311.347857142857
224,312.76
225,313.665714285714
226,314.571428571429
227,315.477142857143
228,316.382857142857
229,317.288571428571
230,318.194285714286
231,319.1
232,320.005714285714
233,320.911428571429
234,321.817142857143
235,322.722857142857
236,323.628571428571
237,324.534285714286
238,325.44
239,326.345714285714
240,327.251428571429
241,328.157142857143
242,329.062857142857
243,329.968571428571
244,330.874285714286
245,331.78
246,332.685714285714
247,333.591428571429
248,334.497142857143
249,335.402857142857
250,336.308571428571
251,337.214285714286
252,338.12
253,338.325714285714
254,338.531428571429
255,338.737142857143
256,338.942857142857
257,339.148571428571
258,339.354285714286
259,339.56
260,339.765714285714
261,339.971428571429
262,340.177142857143
263,340.382857142857
264,340.588571428571
265,340.794285714286
266,341
267,341.205714285714
268,341.411428571429
269,341.617142857143
270,341.822857142857
271,342.028571428571
272,342.234285714286
273,342.44
274,342.645714285714
275,342.851428571429
276,343.057142857143
277,343.262857142857
278,343.468571428571
279,343.674285714286
280,343.88
281,345.913214285714
282,347.946428571429
283,349.979642857143
284,352.012857142857
285,354.046071428571
286,356.079285714286
287,358.1125
288,360.145714285714
289,362.178928571429
290,364.212142857143
291,366.245357142857
292,368.278571428571
293,370.311785714286
294,372.345
295,374.378214285714
296,376.411428571429
297,378.444642857143
298,380.477857142857
299,382.511071428571
300,384.544285714286
301,386.5775
302,388.610714285714
303,390.643928571429
304,392.677142857143
305,394.710357142857
306,396.743571428571
307,398.776785714286
308,400.81
309,401.971428571429
310,403.132857142857
311,404.294285714286
312,405.455714285714
313,406.617142857143
314,407.778571428571
315,408.94
316,410.101428571429
317,411.262857142857
318,412.424285714286
319,413.585714285714
320,414.747142857143
321,415.908571428571
322,417.07
323,418.231428571429
324,419.392857142857
325,420.554285714286
326,421.715714285714
327,422.877142857143
328,424.038571428571
329,425.2
330,426.361428571429
331,427.522857142857
332,428.684285714286
333,429.845714285714
334,431.007142857143
335,432.168571428571
336,433.33
