t,xf
1,10.2925
2,15.015
3,19.7375
4,24.46
5,34.7
6,44.94
7,55.18
8,65.42
9,77.4675
10,89.515
11,101.5625
12,113.61
13,124.5675
14,135.525
15,146.4825
16,157.44
17,167.06
18,176.68
19,186.3
20,195.92
21,207.69
22,219.46
23,231.23
24,243
25,250.555
26,258.11
27,265.665
28,273.22
29,283.105
30,292.99
31,302.875
32,312.76
33,319.1
34,325.44
35,331.78
36,338.12
37,339.56
38,341
39,342.44
40,343.88
41,358.1125
42,372.345
43,386.5775
44,400.81
45,408.94
46,417.07
47,425.2
48,433.33
